full_code|main_source|main_code|main_text|sub_source|sub_code|sub_text
L00-L99_L10-L14|https://www.icd10data.com/L00-L99|L00-L99|Diseases of the skin and subcutaneous tissue|https://www.icd10data.com/ICD10CM/Codes/L00-L99/L10-L14|L10-L14|Bullous disorders
L00-L99_L20-L30|https://www.icd10data.com/L00-L99|L00-L99|Diseases of the skin and subcutaneous tissue|https://www.icd10data.com/ICD10CM/Codes/L00-L99/L20-L30|L20-L30|Dermatitis and eczema
L00-L99_L40-L45|https://www.icd10data.com/L00-L99|L00-L99|Diseases of the skin and subcutaneous tissue|https://www.icd10data.com/ICD10CM/Codes/L00-L99/L40-L45|L40-L45|Papulosquamous disorders
L00-L99_L49-L54|https://www.icd10data.com/L00-L99|L00-L99|Diseases of the skin and subcutaneous tissue|https://www.icd10data.com/ICD10CM/Codes/L00-L99/L49-L54|L49-L54|Urticaria and erythema
L00-L99_L55-L59|https://www.icd10data.com/L00-L99|L00-L99|Diseases of the skin and subcutaneous tissue|https://www.icd10data.com/ICD10CM/Codes/L00-L99/L55-L59|L55-L59|Radiation-related disorders of the skin and subcutaneous tissue
L00-L99_L60-L75|https://www.icd10data.com/L00-L99|L00-L99|Diseases of the skin and subcutaneous tissue|https://www.icd10data.com/ICD10CM/Codes/L00-L99/L60-L75|L60-L75|Disorders of skin appendages
L00-L99_L76-L76|https://www.icd10data.com/L00-L99|L00-L99|Diseases of the skin and subcutaneous tissue|https://www.icd10data.com/ICD10CM/Codes/L00-L99/L76-L76|L76-L76|Intraoperative and postprocedural complications of skin and subcutaneous tissue
L00-L99_L80-L99|https://www.icd10data.com/L00-L99|L00-L99|Diseases of the skin and subcutaneous tissue|https://www.icd10data.com/ICD10CM/Codes/L00-L99/L80-L99|L80-L99|Other disorders of the skin and subcutaneous tissue
M00-M99_M00-M02|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M00-M02|M00-M02|Infectious arthropathies
M00-M99_M04-M04|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M04-M04|M04-M04|Autoinflammatory syndromes
M00-M99_M05-M14|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M05-M14|M05-M14|Inflammatory polyarthropathies
M00-M99_M15-M19|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M15-M19|M15-M19|Osteoarthritis
M00-M99_M20-M25|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M20-M25|M20-M25|Other joint disorders
M00-M99_M26-M27|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M26-M27|M26-M27|Dentofacial anomalies [including malocclusion] and other disorders of jaw
M00-M99_M30-M36|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M30-M36|M30-M36|Systemic connective tissue disorders
M00-M99_M40-M43|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M40-M43|M40-M43|Deforming dorsopathies
M00-M99_M45-M49|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M45-M49|M45-M49|Spondylopathies
M00-M99_M50-M54|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M50-M54|M50-M54|Other dorsopathies
M00-M99_M60-M63|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M60-M63|M60-M63|Disorders of muscles
M00-M99_M65-M67|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M65-M67|M65-M67|Disorders of synovium and tendon
M00-M99_M70-M79|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M70-M79|M70-M79|Other soft tissue disorders
M00-M99_M80-M85|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M80-M85|M80-M85|Disorders of bone density and structure
M00-M99_M86-M90|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M86-M90|M86-M90|Other osteopathies
M00-M99_M91-M94|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M91-M94|M91-M94|Chondropathies
M00-M99_M95-M95|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M95-M95|M95-M95|Other disorders of the musculoskeletal system and connective tissue
M00-M99_M96-M96|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M96-M96|M96-M96|Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified
M00-M99_M97-M97|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M97-M97|M97-M97|Periprosthetic fracture around internal prosthetic joint
M00-M99_M99-M99|https://www.icd10data.com/M00-M99|M00-M99|Diseases of the musculoskeletal system and connective tissue|https://www.icd10data.com/ICD10CM/Codes/M00-M99/M99-M99|M99-M99|Biomechanical lesions, not elsewhere classified
N00-N99_N00-N08|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N00-N08|N00-N08|Glomerular diseases
N00-N99_N10-N16|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N10-N16|N10-N16|Renal tubulo-interstitial diseases
N00-N99_N17-N19|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N17-N19|N17-N19|Acute kidney failure and chronic kidney disease
N00-N99_N20-N23|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N20-N23|N20-N23|Urolithiasis
N00-N99_N25-N29|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N25-N29|N25-N29|Other disorders of kidney and ureter
N00-N99_N30-N39|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N30-N39|N30-N39|Other diseases of the urinary system
N00-N99_N40-N53|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N40-N53|N40-N53|Diseases of male genital organs
N00-N99_N60-N65|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N60-N65|N60-N65|Disorders of breast
N00-N99_N70-N77|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N70-N77|N70-N77|Inflammatory diseases of female pelvic organs
N00-N99_N80-N98|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N80-N98|N80-N98|Noninflammatory disorders of female genital tract
N00-N99_N99-N99|https://www.icd10data.com/N00-N99|N00-N99|Diseases of the genitourinary system|https://www.icd10data.com/ICD10CM/Codes/N00-N99/N99-N99|N99-N99|Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified
O00-O9A_O00-O08|https://www.icd10data.com/O00-O9A|O00-O9A|Pregnancy, childbirth and the puerperium|https://www.icd10data.com/ICD10CM/Codes/O00-O9A/O00-O08|O00-O08|Pregnancy with abortive outcome
O00-O9A_O09-O09|https://www.icd10data.com/O00-O9A|O00-O9A|Pregnancy, childbirth and the puerperium|https://www.icd10data.com/ICD10CM/Codes/O00-O9A/O09-O09|O09-O09|Supervision of high risk pregnancy
O00-O9A_O10-O16|https://www.icd10data.com/O00-O9A|O00-O9A|Pregnancy, childbirth and the puerperium|https://www.icd10data.com/ICD10CM/Codes/O00-O9A/O10-O16|O10-O16|Edema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium
O00-O9A_O20-O29|https://www.icd10data.com/O00-O9A|O00-O9A|Pregnancy, childbirth and the puerperium|https://www.icd10data.com/ICD10CM/Codes/O00-O9A/O20-O29|O20-O29|Other maternal disorders predominantly related to pregnancy
O00-O9A_O30-O48|https://www.icd10data.com/O00-O9A|O00-O9A|Pregnancy, childbirth and the puerperium|https://www.icd10data.com/ICD10CM/Codes/O00-O9A/O30-O48|O30-O48|Maternal care related to the fetus and amniotic cavity and possible delivery problems
O00-O9A_O60-O77|https://www.icd10data.com/O00-O9A|O00-O9A|Pregnancy, childbirth and the puerperium|https://www.icd10data.com/ICD10CM/Codes/O00-O9A/O60-O77|O60-O77|Complications of labor and delivery
O00-O9A_O80-O82|https://www.icd10data.com/O00-O9A|O00-O9A|Pregnancy, childbirth and the puerperium|https://www.icd10data.com/ICD10CM/Codes/O00-O9A/O80-O82|O80-O82|Encounter for delivery
O00-O9A_O85-O92|https://www.icd10data.com/O00-O9A|O00-O9A|Pregnancy, childbirth and the puerperium|https://www.icd10data.com/ICD10CM/Codes/O00-O9A/O85-O92|O85-O92|Complications predominantly related to the puerperium
O00-O9A_O94-O9A|https://www.icd10data.com/O00-O9A|O00-O9A|Pregnancy, childbirth and the puerperium|https://www.icd10data.com/ICD10CM/Codes/O00-O9A/O94-O9A|O94-O9A|Other obstetric conditions, not elsewhere classified
P00-P96_P00-P04|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P00-P04|P00-P04|Newborn affected by maternal factors and by complications of pregnancy, labor, and delivery
P00-P96_P05-P08|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P05-P08|P05-P08|Disorders of newborn related to length of gestation and fetal growth
P00-P96_P09-P09|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P09-P09|P09-P09|Abnormal findings on neonatal screening
P00-P96_P10-P15|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P10-P15|P10-P15|Birth trauma
P00-P96_P19-P29|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P19-P29|P19-P29|Respiratory and cardiovascular disorders specific to the perinatal period
P00-P96_P35-P39|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P35-P39|P35-P39|Infections specific to the perinatal period
P00-P96_P50-P61|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P50-P61|P50-P61|Hemorrhagic and hematological disorders of newborn
P00-P96_P70-P74|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P70-P74|P70-P74|Transitory endocrine and metabolic disorders specific to newborn
P00-P96_P76-P78|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P76-P78|P76-P78|Digestive system disorders of newborn
P00-P96_P80-P83|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P80-P83|P80-P83|Conditions involving the integument and temperature regulation of newborn
P00-P96_P84-P84|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P84-P84|P84-P84|Other problems with newborn
P00-P96_P90-P96|https://www.icd10data.com/P00-P96|P00-P96|Certain conditions originating in the perinatal period|https://www.icd10data.com/ICD10CM/Codes/P00-P96/P90-P96|P90-P96|Other disorders originating in the perinatal period
Q00-Q99_Q00-Q07|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q00-Q07|Q00-Q07|Congenital malformations of the nervous system
Q00-Q99_Q10-Q18|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q10-Q18|Q10-Q18|Congenital malformations of eye, ear, face and neck
Q00-Q99_Q20-Q28|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q20-Q28|Q20-Q28|Congenital malformations of the circulatory system
Q00-Q99_Q30-Q34|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q30-Q34|Q30-Q34|Congenital malformations of the respiratory system
Q00-Q99_Q35-Q37|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q35-Q37|Q35-Q37|Cleft lip and cleft palate
Q00-Q99_Q38-Q45|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q38-Q45|Q38-Q45|Other congenital malformations of the digestive system
Q00-Q99_Q50-Q56|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q50-Q56|Q50-Q56|Congenital malformations of genital organs
Q00-Q99_Q60-Q64|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q60-Q64|Q60-Q64|Congenital malformations of the urinary system
Q00-Q99_Q65-Q79|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q65-Q79|Q65-Q79|Congenital malformations and deformations of the musculoskeletal system
Q00-Q99_Q80-Q89|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q80-Q89|Q80-Q89|Other congenital malformations
Q00-Q99_Q90-Q99|https://www.icd10data.com/Q00-Q99|Q00-Q99|Congenital malformations, deformations and chromosomal abnormalities|https://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q90-Q99|Q90-Q99|Chromosomal abnormalities, not elsewhere classified
R00-R99_R00-R09|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R00-R09|R00-R09|Symptoms and signs involving the circulatory and respiratory systems
R00-R99_R10-R19|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R10-R19|R10-R19|Symptoms and signs involving the digestive system and abdomen
R00-R99_R20-R23|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R20-R23|R20-R23|Symptoms and signs involving the skin and subcutaneous tissue
R00-R99_R25-R29|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R25-R29|R25-R29|Symptoms and signs involving the nervous and musculoskeletal systems
R00-R99_R30-R39|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R30-R39|R30-R39|Symptoms and signs involving the genitourinary system
R00-R99_R40-R46|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R40-R46|R40-R46|Symptoms and signs involving cognition, perception, emotional state and behavior
R00-R99_R47-R49|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R47-R49|R47-R49|Symptoms and signs involving speech and voice
R00-R99_R50-R69|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R50-R69|R50-R69|General symptoms and signs
R00-R99_R70-R79|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R70-R79|R70-R79|Abnormal findings on examination of blood, without diagnosis
R00-R99_R80-R82|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R80-R82|R80-R82|Abnormal findings on examination of urine, without diagnosis
R00-R99_R83-R89|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R83-R89|R83-R89|Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis
R00-R99_R90-R94|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R90-R94|R90-R94|Abnormal findings on diagnostic imaging and in function studies, without diagnosis
R00-R99_R97-R97|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R97-R97|R97-R97|Abnormal tumor markers
R00-R99_R99-R99|https://www.icd10data.com/R00-R99|R00-R99|Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified|https://www.icd10data.com/ICD10CM/Codes/R00-R99/R99-R99|R99-R99|Ill-defined and unknown cause of mortality
S00-T88_S00-S09|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/S00-S09|S00-S09|Injuries to the head
S00-T88_S10-S19|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/S10-S19|S10-S19|Injuries to the neck
S00-T88_S20-S29|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/S20-S29|S20-S29|Injuries to the thorax
S00-T88_S30-S39|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/S30-S39|S30-S39|Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals
S00-T88_S40-S49|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/S40-S49|S40-S49|Injuries to the shoulder and upper arm
S00-T88_S50-S59|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/S50-S59|S50-S59|Injuries to the elbow and forearm
S00-T88_S60-S69|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/S60-S69|S60-S69|Injuries to the wrist, hand and fingers
S00-T88_S70-S79|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/S70-S79|S70-S79|Injuries to the hip and thigh
S00-T88_S80-S89|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/S80-S89|S80-S89|Injuries to the knee and lower leg
S00-T88_S90-S99|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/S90-S99|S90-S99|Injuries to the ankle and foot
S00-T88_T07-T07|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T07-T07|T07-T07|Injuries involving multiple body regions
S00-T88_T14-T14|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T14-T14|T14-T14|Injury of unspecified body region
S00-T88_T15-T19|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T15-T19|T15-T19|Effects of foreign body entering through natural orifice
S00-T88_T20-T25|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T20-T25|T20-T25|Burns and corrosions of external body surface, specified by site
S00-T88_T26-T28|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T26-T28|T26-T28|Burns and corrosions confined to eye and internal organs
S00-T88_T30-T32|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T30-T32|T30-T32|Burns and corrosions of multiple and unspecified body regions
S00-T88_T33-T34|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T33-T34|T33-T34|Frostbite
S00-T88_T36-T50|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T36-T50|T36-T50|Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances
S00-T88_T51-T65|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T51-T65|T51-T65|Toxic effects of substances chiefly nonmedicinal as to source
S00-T88_T66-T78|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78|T66-T78|Other and unspecified effects of external causes
S00-T88_T79-T79|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T79-T79|T79-T79|Certain early complications of trauma
S00-T88_T80-T88|https://www.icd10data.com/S00-T88|S00-T88|Injury, poisoning and certain other consequences of external causes|https://www.icd10data.com/ICD10CM/Codes/S00-T88/T80-T88|T80-T88|Complications of surgical and medical care, not elsewhere classified
U00-U85_U00-U49|https://www.icd10data.com/U00-U85|U00-U85|Codes for special purposes|https://www.icd10data.com/ICD10CM/Codes/U00-U85/U00-U49|U00-U49|Provisional assignment of new diseases of uncertain etiology or emergency use
U00-U85_U50-U85|https://www.icd10data.com/U00-U85|U00-U85|Codes for special purposes|https://www.icd10data.com/ICD10CM/Codes/U00-U85/U50-U85|U50-U85|Provisional assignment of new diseases of uncertain etiology or emergency use
V00-Y99_V00-V09|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V00-V09|V00-V09|Pedestrian injured in transport accident
V00-Y99_V10-V19|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V10-V19|V10-V19|Pedal cycle rider injured in transport accident
V00-Y99_V20-V29|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V20-V29|V20-V29|Motorcycle rider injured in transport accident
V00-Y99_V30-V39|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V30-V39|V30-V39|Occupant of three-wheeled motor vehicle injured in transport accident
V00-Y99_V40-V49|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V40-V49|V40-V49|Car occupant injured in transport accident
V00-Y99_V50-V59|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V50-V59|V50-V59|Occupant of pick-up truck or van injured in transport accident
V00-Y99_V60-V69|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V60-V69|V60-V69|Occupant of heavy transport vehicle injured in transport accident
V00-Y99_V70-V79|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V70-V79|V70-V79|Bus occupant injured in transport accident
V00-Y99_V80-V89|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V80-V89|V80-V89|Other land transport accidents
V00-Y99_V90-V94|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V90-V94|V90-V94|Water transport accidents
V00-Y99_V95-V97|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V95-V97|V95-V97|Air and space transport accidents
V00-Y99_V98-V99|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/V98-V99|V98-V99|Other and unspecified transport accidents
V00-Y99_W00-W19|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/W00-W19|W00-W19|Slipping, tripping, stumbling and falls
V00-Y99_W20-W49|https://www.icd10data.com/V00-Y99|V00-Y99|External causes of morbidity|https://www.icd10data.com/ICD10CM/Codes/V00-Y99/W20-W49|W20-W49|Exposure to inanimate mechanical forces
